Product ID,sku,Product name,Total click count
8.93E+12,MWF9007,"Atosa MWF9007 38"" Solid Top Chest Freezer, 7 cu.ft",5
8.93E+12,MWF9016GR,"Atosa MWF9016GR 60 1/4"" Solid Top Chest Freezer, 16 cu.ft",5
8.92E+12,C-3FB-HC,Migali C-3FB-HC Bottom Mount Reach-In Triple Door 72 cu/ft Freezer,5
8.91E+12,PTC173J35AXXX,"Amana PTC173J35AXXX 16,700 BTU Packaged Terminal Air Conditioner with Electric Heater, 20 AMP, and NEMA 6-20 LCDI Cord",5
8.86E+12,BGCB-2212,"Winco BGCB-2212 Premium X-Large Insulated Catering Bag, 22"" x 22"" x 12""",5
8.83E+12,REFNFR2601,Roomwell UK 2.6 Cu.Ft Mini Fridge Without Freezer,5
8.83E+12,201116,"Duke Relax Aluminium Banquet Chair with Upright Flex Back, Lightweight, Webbed Seat With Lumbar Support, Stackable",5
8.83E+12,RFB7538,Metal Rollaway Bed with Mattress,5
8.82E+12,SLSSD003,"Thunder Group SLSSD003 3-1/2 oz, 3-3/4"" Diameter x 1-1/2"" Height, Sherbet Dish, Footed, Stainless Steel, Mirror Finished",5
8.82E+12,GTP-25,"Winco GTP-25 Teapot, 25 oz. Glass Liner with Removable Stainless Steel Strainer, PP Exterior, Black",5
8.82E+12,KBG-8,"Winco KBG-8 Knife Roll, 8 Slots",5
8.82E+12,SVM-3,"Winco SVM-3 Stainless Steel Food Mill with 3 Graters, 8""",5
8.82E+12,C-2080B,"Winco C-2080B Stainless Steel Get-A-Grip Chafing Dish, 8 Qt",5
8.82E+12,201,"Winco 201 Malibu Gold Accent Stainless Steel Chafer, 8 Qt",5
8.82E+12,RC-P301,"Winco RC-P301 30 Cups Electric Rice Cooker, 120V",5
8.82E+12,RC-S301,"Winco RC-S301 30 Cups Electric Rice Cooker/Warmer, 120V",5
8.82E+12,ECO-250,"Winco ECO-250 Quarter-Size Countertop Convection Oven, 0.8 Cubic Feet, 120V, 1440W",5
8.82E+12,ECT-700,"Winco ECT-700 Spectrum Electric Conveyor Toaster, 700 Slices per Hour",5
8.82E+12,PLBT505WPF,"Thunder Group PLBT505WPF 20-1/2"" x 15-1/2"" x 5? Polypropylene Perforated Bus Box White",5
8.82E+12,PLBT005W,"Thunder Group PLBT005W 20-1/2"" x 15-1/2"" x 5"" Polyethylene Bus Box White",5
8.81E+12,TCGG-72-HC-LD,"True TCGG-72-HC-LD 72 1/4""  White Powder-coated Steel Curved Refrigerated Deli Case with Hydrocarbon Refrigerant and LED Lighting,White, 115v/1ph",5
8.81E+12,T-49F-HC,"True T-49F-HC 54 1/8"" Aluminum Two Section Solid Door Reach-In Freezer, 115v/1ph",5
8.81E+12,T-35-HC,"True T-35-HC 39 1/2"" Aluminum 2 Section Reach In Refrigerator with 2 Left/Right Hinge Solid Doors, 115v/1ph",5
8.81E+12,D970 - CAP 882 lbs,Manitowoc D970 Storage Bin For Ice 882 lb.,5
8.81E+12,CL50 NODISC,"Robot Coupe CL50 Food Processor without Discs, 120 V, 1 1/2 hp",5
8.81E+12,MOSCAIITEM01ND0002,Nuova Simonelli Oscar II Direct Professional Espresso Coffee Machine - 110 V,5
8.81E+12,MAPPC19VOL02ND0003,Nuova Simonelli Appia Life Compact Vol 2GR Espresso Machine with Autosteam - 220V,5
8.81E+12,UCG100A,"Ice-O-Matic UCG100A 18"" Air Cooled Undercounter Gourmet Cube Ice Machine With 114 lbs Bin, 1 Phase, 115V",5
8.81E+12,45060R,"Hamilton Beach 45060R Proctor Silex 60-Cup Coffee Urn/Percolator, 1090W",5
8.81E+12,SB14R,"Southbend SB14R 15.6"" Stainless Steel Fryer, Natural Gas, 122,000 BTU",5
8.81E+12,65300K,"Arctic Air 65300K 56"" - 61"" ((Side - Side) Tempered Glass Top Cover for ACP55",5
9.14E+12,55UN560H0UARBX,"LG 55UN560H0UA 55"" 4K UHD Hospitality TV with Pro: Centric with Integrated Pro: Idiom, 2-channel Speaker System, Remote Diagnostics, Hybrid Log-Gamma (HLG), HDR 10 Pro, 4K Active HDR, and Security Lock Slot",4
9.13E+12,SD54,"Coldline SD54 54"" Flat Glass Top Ice Cream Freezer with Sliding Doors, 13 cu. Ft., 115v/1ph",4
9.13E+12,AKEQ10DCJ,"GE AKEQ10DCJ 24"" Thru the Wall Air Conditioner with 3-Speed Fan, Large LCD Display,  6-Way Directional Airflow, Remote Control, and Cooling Capacity of 10,000 BTU, 9.6 EER, R32, 230/208v",4
9.13E+12,AJHQ12DWH,"GE AJHQ12DWH 26"" Built-In Heat Pump Room Air Conditioners with 6-Way Directional Airflow, Smart Fan Switch, and Cooling Capacity of 11,800 BTU, 9.6 EER, R410A 230/208v/1ph",4
9.05E+12,MS-005BU,"Yanco MS-005BU Milestone 5.5"" Round Plate with Blue Melamine & Wide Rim - Pack of 48",4
9.05E+12,MM-15,"Yanco MM-15 Miami 6"" Nappie Bowl, White Porcelain, 12.5oz - Pack of 36",4
9.05E+12,MM-11,"Yanco MM-11 Miami 5.25"" Fruit Round Bowl, White Porcelain, 5.5oz - Pack of 36",4
9.05E+12,LY-2110,"Yanco LY-2110 Lyon 10 X 7"" X 1"" Coupe Platter, Porcelain, Reactive Glaze, Pack of 24",4
9.05E+12,BP-2212,"Yanco BP-2212 Black pearl-1 5.5"" Black Melamine Rectangular Plate with Matting Finish, Pack of 24",4
